Book Name,Price,Availability,Product URL,Rating,Price_Clean,Rating_Clean,Price_Category
A Light in the Attic,Â£51.77,In stock,a-light-in-the-attic_1000/index.html,Three,51.77,3,High
Tipping the Velvet,Â£53.74,In stock,tipping-the-velvet_999/index.html,One,53.74,1,High
Soumission,Â£50.10,In stock,soumission_998/index.html,One,50.1,1,High
Sharp Objects,Â£47.82,In stock,sharp-objects_997/index.html,Four,47.82,4,High
Sapiens: A Brief History of Humankind,Â£54.23,In stock,sapiens-a-brief-history-of-humankind_996/index.html,Five,54.23,5,High
The Requiem Red,Â£22.65,In stock,the-requiem-red_995/index.html,One,22.65,1,Medium
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,In stock,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Four,33.34,4,Medium
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,In stock,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Three,17.93,3,Low
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,In stock,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Four,22.6,4,Medium
The Black Maria,Â£52.15,In stock,the-black-maria_991/index.html,One,52.15,1,High
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,In stock,starving-hearts-triangular-trade-trilogy-1_990/index.html,Two,13.99,2,Low
Shakespeare's Sonnets,Â£20.66,In stock,shakespeares-sonnets_989/index.html,Four,20.66,4,Medium
Set Me Free,Â£17.46,In stock,set-me-free_988/index.html,Five,17.46,5,Low
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,In stock,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Five,52.29,5,High
Rip it Up and Start Again,Â£35.02,In stock,rip-it-up-and-start-again_986/index.html,Five,35.02,5,Medium
